"subj_idx","trial.num","stim","rt","response"
"1",1,"unambiguous",1.315,1
"1",2,"unambiguous",1.429,1
"1",3,"unambiguous",0.915,1
"1",4,"unambiguous",0.964,1
"1",5,"unambiguous",0.724,1
"1",6,"implicature",0.692,1
"1",7,"unambiguous",0.812,1
"1",8,"unambiguous",0.685,1
"1",9,"unambiguous",0.827,1
"1",10,"implicature",0.817,1
"1",11,"unambiguous",0.731,1
"1",12,"unambiguous",0.767,1
"1",13,"implicature",0.662,1
"1",14,"implicature",0.684,0
"1",15,"implicature",0.625,1
"1",16,"unambiguous",0.665,1
"1",17,"implicature",0.686,1
"1",18,"implicature",0.863,1
"1",19,"implicature",0.629,1
"1",20,"unambiguous",0.642,1
"1",21,"implicature",0.653,1
"1",22,"implicature",0.626,0
"1",23,"unambiguous",0.585,1
"1",24,"unambiguous",0.609,1
"1",25,"unambiguous",0.592,1
"1",26,"implicature",0.666,1
"1",27,"unambiguous",0.625,1
"1",28,"implicature",0.611,0
"1",29,"unambiguous",0.624,1
"1",30,"unambiguous",0.719,1
"1",31,"implicature",1.087,1
"1",32,"unambiguous",0.706,1
"1",33,"implicature",0.675,0
"1",34,"unambiguous",0.587,1
"1",35,"implicature",0.688,0
"1",36,"implicature",0.625,1
"1",37,"implicature",0.568,0
"1",38,"unambiguous",0.583,1
"1",39,"unambiguous",0.64,1
"1",40,"unambiguous",0.673,1
"1",41,"unambiguous",0.631,1
"1",42,"unambiguous",0.633,1
"1",43,"implicature",0.595,1
"1",44,"implicature",0.588,0
"1",45,"unambiguous",0.591,0
"1",46,"unambiguous",0.967,1
"1",47,"implicature",0.781,0
"1",48,"unambiguous",0.751,1
"1",49,"implicature",0.722,1
"1",50,"implicature",0.765,1
"1",51,"unambiguous",0.681,1
"1",52,"implicature",0.736,1
"1",53,"implicature",0.786,0
"1",54,"implicature",0.804,0
"1",55,"implicature",0.649,0
"1",56,"unambiguous",0.698,1
"1",57,"implicature",0.885,0
"1",58,"unambiguous",0.598,1
"1",59,"implicature",0.728,1
"1",60,"unambiguous",0.704,1
"1",61,"unambiguous",0.709,1
"1",62,"implicature",0.578,1
"1",63,"unambiguous",0.64,1
"1",64,"unambiguous",0.627,1
"1",65,"implicature",0.655,1
"1",66,"unambiguous",0.64,1
"1",67,"implicature",0.556,0
"1",68,"unambiguous",0.496,1
"1",69,"implicature",0.542,0
"1",70,"unambiguous",0.909,1
"1",71,"unambiguous",0.564,1
"1",72,"implicature",0.786,1
"1",73,"implicature",0.64,0
"1",74,"unambiguous",0.64,1
"1",75,"implicature",0.672,1
"1",76,"unambiguous",0.705,1
"1",77,"unambiguous",0.638,1
"1",78,"implicature",0.627,0
"1",79,"implicature",0.632,1
"1",80,"unambiguous",0.654,1
"1",81,"unambiguous",0.648,1
"1",82,"unambiguous",0.614,1
"1",83,"implicature",0.743,1
"1",84,"unambiguous",0.675,1
"1",85,"unambiguous",0.534,1
"1",86,"implicature",0.607,0
"1",87,"implicature",0.546,1
"1",88,"unambiguous",0.5,1
